record_code,format_version,submission_date,reporting_agency,sampling_agency,catch_sample_id,species,catch_year,period_type,period,first_period,last_period,fishery,adclip_selective_fishery,estimation_level,catch_location_code,detection_method,sample_type,sampled_maturity,sampled_run,sampled_length_range,sampled_sex,sampled_mark,number_caught,escapement_estimation_method,number_sampled,number_cwt_estimated,number_recovered_decoded,number_recovered_no_cwts,number_recovered_lost_cwts,number_recovered_unreadable,number_recovered_unresolved,number_recovered_not_processed,number_recovered_pseudotags,mr_1st_partition_size,mr_1st_sample_size,mr_1st_sample_known_ad_status,mr_1st_sample_obs_adclips,mr_2nd_partition_size,mr_2nd_sample_size,mr_2nd_sample_known_ad_status,mr_2nd_sample_obs_adclips,mark_rate,awareness_factor,sport_mark_incidence_sampl_size,sport_mark_inc_sampl_obs_adclips,catch_location_name,record_origin
"S","4.2","20190723","CDFW","CDFW","BUT54117","1","2017","1","01",,,"54","N","4","6FCSABUT","V","1",,"1",,,,"515","61","182","2.83",,,,,,,,"182","182","182","0",,,,,,,,,"BUTTE CREEK","N"
"S","4.2","20190723","CDFW","CDFW","BUT54317","1","2017","1","01",,,"54","N","4","6FCSABUT","V","1",,"3",,,,"105","12","105","1",,,,,,,,"105","105","105","0",,,,,,,,,"BUTTE CREEK","N"
"S","4.2","20190723","CDFW","CDFW","CLR54317","1","2017","1","01",,,"54","N","4","6FCSACLR","V","2",,"3",,,,"2353",,"99","1",,,,,,,,"99","99","99","0",,,,,,,,,"CLEAR CREEK","N"
"S","4.2","20190723","CDFW","CDFW","COT54317","1","2017","1","01",,,"54","N","4","6FCSACOT","V","2",,"3",,,,"124",,"124",,,,,,,,,"124","124","124","0",,,,,,,,,"COTTONWOOD CREEK","N"
"S","4.2","20060710","CDFW","CDFW","5417012001","1","2001","1","01",,,"54",,"4","6FCSABUT","V","1",,"3",,,,"4103","61","1701","2.41","10","1",,,,,,"1701","1701","1701","11",,,,,"0.0065",,,,"BUTTE CREEK","N"
"S","4.2","20060710","CDFW","CDFW","5420012001","1","2001","1","01",,,"54",,"4","6FCSABUT","V","1",,"1",,,,"18505","61","11734","1.58","28","5",,,,,,"11734","11734","11734","33",,,,,"0.0028",,,,"BUTTE CREEK","N"
"S","4.2","20060710","CDFW","CDFW","5412012001","1","2001","1","01",,,"54",,"4","6FCSABAT","V","1",,"3",,,,"100604","61","23081","5.55","220","63","3",,,"73",,"23081","23081","23081","359",,,,,"0.0156",,,,"BATTLE CREEK BELOW CNFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170204","1","2013","7","04",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","7",,"1","7","1","0","0","0","0","0","0","7","7","7","7",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170205","1","2013","7","05",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","18",,"4","4.5","4","0","0","0","0","0","0","18","18","18","18",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170206","1","2013","7","06",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","247",,"43","5.72","43","0","0","0","0","0","0","247","247","247","246",,,,,"0.996",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170207","1","2013","7","07",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","137",,"132","1.03","132","0","0","0","0","0","0","137","137","136","136",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170208","1","2013","7","08",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","579",,"563","1.02","563","0","0","0","0","0","0","579","579","572","572",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170209","1","2013","7","09",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","7",,"7","1","7","0","0","0","0","0","0","7","7","7","7",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170210","1","2013","7","10",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","31",,"30","1","30","0","0","0","0","0","0","31","31","31","30",,,,,"0.9677",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170211","1","2013","7","11",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","2",,"2","1","2","0","0","0","0","0","0","2","2","2","2",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170212","1","2013","7","12",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","204",,"197","1.01","196","1","0","0","0","0","0","204","204","203","198",,,,,"0.9754",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170213","1","2013","7","13",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","775",,"763","1","752","9","0","0","0","2","0","775","775","763","763",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170214","1","2013","7","14",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","205",,"202","1","201","1","0","0","0","0","0","205","205","203","202",,,,,"0.9951",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170215","1","2013","7","15",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","40",,"37","1.08","37","0","0","0","0","0","0","40","40","40","40",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170216","1","2013","7","16",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","383",,"374","1.01","368","5","1","0","0","0","0","383","383","381","377",,,,,"0.9895",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170217","1","2013","7","17",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","8",,"8","1","8","0","0","0","0","0","0","8","8","8","8",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170218","1","2013","7","18",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","309",,"306","1","301","5","0","0","0","0","0","309","309","309","306",,,,,"0.9903",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170219","1","2013","7","19",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","13",,"13","1","13","0","0","0","0","0","0","13","13","13","13",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170220","1","2013","7","20",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","216",,"214","1","209","4","0","1","0","0","0","216","216","215","214",,,,,"0.9953",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170221","1","2013","7","21",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","7",,"7","1","6","1","0","0","0","0","0","7","7","7","7",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170222","1","2013","7","22",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","105",,"105","1","105","0","0","0","0","0","0","105","105","105","105",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170223","1","2013","7","23",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","5",,"5","1","4","1","0","0","0","0","0","5","5","5","5",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170224","1","2013","7","24",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","120",,"120","1","118","2","0","0","0","0","0","120","120","119","120",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170225","1","2013","7","25",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","4",,"4","1","4","0","0","0","0","0","0","4","4","4","4",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170226","1","2013","7","26",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","134",,"132","1","131","1","0","0","0","0","0","134","134","134","132",,,,,"0.9851",,,,"COLEMAN NFH","N"
"S","4.2","20220420","USFWS","USFWS","2013170227","1","2013","7","27",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,"5000","5",,"5","1","5","0","0","0","0","0","0","5","5","5","5",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLSC14250","1","1988","6","42",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"2",,"2","1","2","0","0","0","0","0","0","2","2","2","2",,,,,"1",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14150","1","1988","6","41",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"1103",,"1103","1","30","1","5","0","0","0","0","1103","1103","1103","36",,,,,"0.0326",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14250","1","1988","6","42",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"2287",,"2287","1","62","3","3","0","0","0","0","2287","2287","2287","68",,,,,"0.0297",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14350","1","1988","6","43",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"3755",,"3755","1","76","6","3","0","0","0","0","3755","3755","3755","85",,,,,"0.0226",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14450","1","1988","6","44",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"3885",,"2496","1.56","57","2","3","0","0","2","0","2496","2496","2496","64",,,,,"0.0256",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14550","1","1988","6","45",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"2024",,"1440","1.41","28","5","0","0","0","0","0","1440","1440","1440","33",,,,,"0.0229",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14650","1","1988","6","46",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"603",,"603","1","3","0","0","0","0","0","0","603","603","603","3",,,,,"0.005",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14750","1","1988","6","47",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"211",,"211","1","2","0","0","0","0","0","0","211","211","211","2",,,,,"0.0095",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14850","1","1988","6","48",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"352",,"352","1","3","1","0","0","0","0","0","352","352","352","4",,,,,"0.0114",,,,"COLEMAN NFH","N"
"S","4.2","20040517","USFWS","USFWS","RCLFC14950","1","1988","6","49",,,"50","N","6","6FCSABAT CNFH","V","1","4",,,,,"257",,"257","1","2","0","0","0","0","0","0","257","257","257","2",,,,,"0.0078",,,,"COLEMAN NFH","N"
