"sampling_agency","run_year","recovery_date","fishery","recovery_location_code","length","sampling_site","recovery_location_name","tag_code","estimated_number","hatchery_location_name","brood_year"
"CDFW",2014,20140704,40,"6MO      SFCV",559,"SHFB","SPAN.FLAT-C.VIZCAINO","60474",5.33,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140706,40,"6MO      PPPS",568,"SCMO","PIGEON PT.-POINT SUR","60474",4.97,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140728,40,"6MO      PPPS",591,"SCMO","PIGEON PT.-POINT SUR","60474",4.55,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140816,40,"6MO      FRPP",555,"SFSF","FORT ROSS-PIGEON PT","60474",3,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140829,10,"6MO      PRPP",635,"BOSF","PT.REYES-PIGEON PT.","60474",2.53,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140830,40,"6MO      FRPP",604,"SFSF","FORT ROSS-PIGEON PT","60474",3,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140905,10,"6MO      PRPP",653,"SFSF","PT.REYES-PIGEON PT.","60474",2.63,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140906,40,"6MO      FRPP",595,"SASF","FORT ROSS-PIGEON PT","60474",2.82,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140909,40,"6MO      FRPP",624,"BESF","FORT ROSS-PIGEON PT","60474",2.82,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140915,10,"6MO      PAPP",627,"BOSF","PT.ARENA-PIGEON PT.","60474",2.63,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20140921,40,"6MO      FRPP",493,"PRSF","FORT ROSS-PIGEON PT","60474",2.93,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141003,10,"6MO      PRPP",618,"SFSF","PT.REYES-PIGEON PT.","60474",2.58,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141003,10,"6MO      PRPP",616,"PRSF","PT.REYES-PIGEON PT.","60474",2.58,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141008,40,"6MO      FRPP",509,"SASF","FORT ROSS-PIGEON PT","60474",2.91,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141010,40,"6MO      FRPP",634,"BESF","FORT ROSS-PIGEON PT","60474",2.91,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141010,10,"6MO      PRPP",633,"SFSF","PT.REYES-PIGEON PT.","60474",2.58,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141010,10,"6MO      PRPP",645,"SFSF","PT.REYES-PIGEON PT.","60474",2.58,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141207,46,"6FCSAAMN",660,"AMN","AMERICAN RIVER","60474",25.98,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141014,46,"6FCSAAMN",625,"AMN","AMERICAN RIVER","60474",25.98,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141110,46,"6FCSAAMN",632,"AMN","AMERICAN RIVER","60474",25.98,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141121,46,"6FCSAAMN",643,"AMN","AMERICAN RIVER","60474",25.98,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141113,50,"6FCSAAMN NBFH",627,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141106,50,"6FCSAAMN NBFH",662,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141104,50,"6FCSAAMN NBFH",543,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141104,50,"6FCSAAMN NBFH",623,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141112,50,"6FCSAAMN NBFH",663,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141117,50,"6FCSAAMN NBFH",634,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141106,50,"6FCSAAMN NBFH",630,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141104,50,"6FCSAAMN NBFH",646,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141117,50,"6FCSAAMN NBFH",646,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141104,50,"6FCSAAMN NBFH",615,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141112,50,"6FCSAAMN NBFH",601,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141112,50,"6FCSAAMN NBFH",610,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141112,50,"6FCSAAMN NBFH",650,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",645,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",572,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",606,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",626,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",628,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",684,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",620,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",646,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",549,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141120,50,"6FCSAAMN NBFH",622,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",636,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",593,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141126,50,"6FCSAAMN NBFH",682,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",645,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",648,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
"CDFW",2014,20141124,50,"6FCSAAMN NBFH",630,"NBFH","NIMBUS FISH HATCHERY","60474",1.02,"NIMBUS FISH HATCHERY",2012
